epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6723,1.39266,3.74045,1.72339,0.0542,0.83776,0.26766,0.14826,1.30021,3.80746,1.83178,6.003e-05,6.003e-05,6.003e-05
2,83.9428,1.25794,3.68795,1.65483,0.07687,0.86548,0.35592,0.2324,1.18092,3.7621,1.6561,0.000124221,0.000124221,0.000124221
3,118.54,1.15275,3.53848,1.56744,0.06547,0.87374,0.33818,0.22407,1.24881,3.7441,1.64651,0.00018577,0.00018577,0.00018577
4,155.689,1.11299,3.31976,1.50833,0.0488,0.8862,0.35629,0.23594,1.27854,3.63153,1.61311,0.000244678,0.000244678,0.000244678
5,192.706,1.06134,3.12459,1.48739,0.05391,0.92104,0.52179,0.31858,1.31175,3.33506,1.64201,0.000300945,0.000300945,0.000300945
6,229.003,1.04988,2.92014,1.451,0.06017,0.9363,0.51858,0.317,1.2802,3.19161,1.64737,0.000354571,0.000354571,0.000354571
7,264.594,1.05058,2.75293,1.43963,0.06243,0.94596,0.51532,0.32617,1.24755,3.09465,1.63395,0.000405555,0.000405555,0.000405555
8,300.756,1.02365,2.67896,1.42464,0.56908,0.32069,0.49056,0.32512,1.29326,2.97465,1.70001,0.000453898,0.000453898,0.000453898
9,813.182,1.05078,2.58332,1.44833,0.6174,0.13703,0.49879,0.32277,1.33439,2.86591,1.74296,0.000499599,0.000499599,0.000499599
10,867.127,1.05413,2.51876,1.44635,0.60674,0.20723,0.56809,0.38706,1.29385,2.45327,1.71739,0.000542659,0.000542659,0.000542659
11,903.622,1.03896,2.35795,1.4415,0.64025,0.31966,0.61991,0.43799,1.29671,2.29219,1.70802,0.000534934,0.000534934,0.000534934
12,940.833,1.00535,2.35861,1.44136,0.65443,0.45587,0.68031,0.51415,1.24774,2.17695,1.67392,0.000521727,0.000521727,0.000521727
13,977.196,1.0325,2.29003,1.43652,0.66768,0.52765,0.73315,0.55349,1.25382,2.1253,1.69156,0.000508521,0.000508521,0.000508521
14,1013.87,1.06056,2.27896,1.47277,0.6737,0.59318,0.76167,0.55496,1.31844,1.97329,1.77773,0.000495314,0.000495314,0.000495314
15,1051.13,1.09166,2.19971,1.4963,0.67399,0.54599,0.74896,0.50974,1.35448,1.96501,1.83479,0.000482108,0.000482108,0.000482108
16,1086.76,1.04427,2.16914,1.4991,0.69279,0.54974,0.79224,0.53825,1.38232,1.88425,1.8526,0.000468901,0.000468901,0.000468901
17,1125.24,1.04304,2.10071,1.47443,0.69251,0.6263,0.82355,0.61711,1.35505,1.85212,1.82509,0.000455694,0.000455694,0.000455694
18,1170.02,1.05397,2.04102,1.47498,0.65815,0.79372,0.80473,0.63914,1.26757,1.79652,1.74909,0.000442488,0.000442488,0.000442488
19,1208.08,0.98932,2.05414,1.45263,0.69459,0.81002,0.82259,0.64789,1.25689,1.75822,1.73808,0.000429281,0.000429281,0.000429281
20,1244.79,1.04633,2.00017,1.49535,0.68725,0.78732,0.81164,0.64417,1.25705,1.76617,1.73691,0.000416075,0.000416075,0.000416075
21,1281.72,1.00996,1.96297,1.45696,0.69326,0.73034,0.81669,0.63838,1.26915,1.78788,1.73982,0.000402868,0.000402868,0.000402868
22,1320,1.01403,1.91281,1.45771,0.73251,0.79689,0.81957,0.62018,1.26173,1.74578,1.73283,0.000389661,0.000389661,0.000389661
23,1359.03,1.0044,1.8818,1.44686,0.72457,0.824,0.82443,0.62642,1.23851,1.73155,1.71504,0.000376455,0.000376455,0.000376455
24,1396.81,0.983,1.87121,1.46028,0.71839,0.86338,0.85139,0.64257,1.24083,1.67589,1.70671,0.000363248,0.000363248,0.000363248
25,3641.12,1.00557,1.81948,1.46442,0.70538,0.85963,0.86633,0.65656,1.2438,1.62929,1.69446,0.000350042,0.000350042,0.000350042
26,3686.22,0.9726,1.7756,1.42893,0.75452,0.81435,0.87998,0.68035,1.23968,1.61922,1.68021,0.000336835,0.000336835,0.000336835
27,3728.4,0.94893,1.72409,1.40494,0.75825,0.85033,0.87842,0.67742,1.23329,1.62057,1.67531,0.000323628,0.000323628,0.000323628
28,3776.78,0.99938,1.76819,1.46294,0.77054,0.86981,0.88947,0.67695,1.23101,1.60628,1.67726,0.000310422,0.000310422,0.000310422
29,3817.97,0.9504,1.65017,1.40728,0.76279,0.8543,0.88541,0.68007,1.25176,1.60546,1.69947,0.000297215,0.000297215,0.000297215
30,3864.88,1.00102,1.69457,1.45265,0.73268,0.86667,0.90808,0.70923,1.27437,1.60072,1.72864,0.000284009,0.000284009,0.000284009
31,3908.1,0.97222,1.65566,1.45512,0.73459,0.87024,0.90759,0.71863,1.29079,1.56505,1.74294,0.000270802,0.000270802,0.000270802
32,3952.05,0.97633,1.62514,1.46298,0.73269,0.87368,0.90546,0.71456,1.28758,1.55529,1.74064,0.000257595,0.000257595,0.000257595
33,3988.59,0.94411,1.6344,1.43476,0.74891,0.87514,0.90571,0.71435,1.2784,1.51811,1.73084,0.000244389,0.000244389,0.000244389
34,4024.1,0.95617,1.59781,1.41899,0.70081,0.90099,0.90549,0.72097,1.24211,1.50901,1.6852,0.000231182,0.000231182,0.000231182
35,4060.9,0.93465,1.58149,1.408,0.70193,0.91339,0.89479,0.70508,1.22807,1.55079,1.66967,0.000217976,0.000217976,0.000217976
36,4098.09,0.92971,1.59861,1.42551,0.70319,0.886,0.8895,0.68829,1.22583,1.57038,1.67187,0.000204769,0.000204769,0.000204769
37,47273.3,0.94309,1.58403,1.42363,0.73198,0.87104,0.88923,0.70618,1.21892,1.56182,1.66368,0.000191562,0.000191562,0.000191562
38,47326.8,0.92896,1.55056,1.40286,0.76564,0.8741,0.89776,0.72022,1.20478,1.54153,1.6593,0.000178356,0.000178356,0.000178356
39,47374.5,0.89855,1.54591,1.40284,0.76104,0.87471,0.91002,0.7279,1.20518,1.49221,1.65388,0.000165149,0.000165149,0.000165149
40,47427.2,0.90979,1.53033,1.39781,0.7507,0.88318,0.92309,0.73858,1.21727,1.46144,1.66585,0.000151943,0.000151943,0.000151943
41,47473,0.9759,1.59606,1.50133,0.7411,0.88585,0.92617,0.74697,1.19554,1.44321,1.65618,0.000138736,0.000138736,0.000138736
42,47522.4,0.99054,1.47748,1.50143,0.83084,0.87598,0.93408,0.76278,1.14312,1.43849,1.61321,0.000125529,0.000125529,0.000125529
43,47569.7,0.9497,1.39265,1.46594,0.84062,0.88322,0.93338,0.75947,1.13979,1.45528,1.60899,0.000112323,0.000112323,0.000112323
44,47614,0.9571,1.41618,1.46019,0.85841,0.84598,0.9322,0.76244,1.1299,1.46023,1.60478,9.91162e-05,9.91162e-05,9.91162e-05
45,47652.9,0.89303,1.35736,1.43462,0.83958,0.86185,0.93153,0.76064,1.11761,1.44996,1.58864,8.59096e-05,8.59096e-05,8.59096e-05
46,47692.2,0.91376,1.36668,1.45357,0.82338,0.90297,0.93071,0.76381,1.11408,1.4252,1.58985,7.2703e-05,7.2703e-05,7.2703e-05
47,47733.8,0.90056,1.33209,1.4251,0.83807,0.91381,0.92814,0.75376,1.11408,1.42308,1.59257,5.94964e-05,5.94964e-05,5.94964e-05
48,47771.7,0.8641,1.29629,1.45416,0.84463,0.86467,0.92321,0.74881,1.10512,1.42197,1.58852,4.62898e-05,4.62898e-05,4.62898e-05
49,47809.9,0.86853,1.29508,1.41929,0.86491,0.87913,0.92884,0.75408,1.10191,1.41869,1.58603,3.30832e-05,3.30832e-05,3.30832e-05
50,47860.8,0.86529,1.2805,1.43711,0.84753,0.89942,0.93565,0.76837,1.09266,1.39751,1.58122,1.98766e-05,1.98766e-05,1.98766e-05
